category,date,percent,downloads
with_mirrors,2023-09-20,1.33%,41646
without_mirrors,2023-09-20,1.33%,41485
with_mirrors,2023-11-02,1.26%,39351
with_mirrors,2023-10-31,1.22%,38307
with_mirrors,2023-10-30,1.22%,38007
without_mirrors,2023-11-02,1.21%,37907
with_mirrors,2023-09-21,1.18%,36897
without_mirrors,2023-10-31,1.18%,36778
without_mirrors,2023-10-30,1.17%,36447
without_mirrors,2023-09-21,1.16%,36308
with_mirrors,2023-10-18,1.13%,35468
without_mirrors,2023-10-18,1.12%,34885
with_mirrors,2023-09-22,1.09%,34073
without_mirrors,2023-09-22,1.08%,33844
with_mirrors,2023-10-11,1.07%,33594
with_mirrors,2023-08-31,1.07%,33415
without_mirrors,2023-08-31,1.06%,33059
with_mirrors,2023-10-26,1.05%,32903
without_mirrors,2023-10-11,1.05%,32750
with_mirrors,2023-08-30,1.04%,32667
with_mirrors,2023-10-20,1.04%,32573
without_mirrors,2023-08-30,1.04%,32480
with_mirrors,2023-10-10,1.04%,32433
without_mirrors,2023-10-26,1.03%,32300
without_mirrors,2023-10-10,1.02%,31835
with_mirrors,2023-10-12,1.01%,31668
without_mirrors,2023-10-20,1.01%,31641
with_mirrors,2023-10-19,1.01%,31542
without_mirrors,2023-10-12,1.00%,31214
without_mirrors,2023-10-19,1.00%,31188
with_mirrors,2023-10-27,0.99%,31118
with_mirrors,2023-08-29,0.99%,31034
with_mirrors,2023-10-04,0.99%,30956
without_mirrors,2023-10-04,0.98%,30748
without_mirrors,2023-08-29,0.98%,30740
without_mirrors,2023-10-27,0.98%,30638
with_mirrors,2023-11-01,0.97%,30353
with_mirrors,2023-10-25,0.96%,30046
without_mirrors,2023-11-01,0.96%,29914
with_mirrors,2023-10-16,0.95%,29721
with_mirrors,2023-09-06,0.95%,29617
without_mirrors,2023-10-25,0.95%,29583
with_mirrors,2023-10-17,0.94%,29307
without_mirrors,2023-10-16,0.93%,29204
with_mirrors,2023-10-06,0.93%,29124
with_mirrors,2023-10-24,0.93%,29038
with_mirrors,2023-10-03,0.92%,28849
without_mirrors,2023-10-17,0.92%,28734
without_mirrors,2023-10-06,0.92%,28728
with_mirrors,2023-09-13,0.92%,28709
with_mirrors,2023-09-12,0.91%,28501
with_mirrors,2023-10-23,0.91%,28488
with_mirrors,2023-09-19,0.91%,28361
without_mirrors,2023-09-12,0.90%,28227
without_mirrors,2023-09-19,0.90%,28158
with_mirrors,2023-08-16,0.89%,27987
without_mirrors,2023-10-03,0.89%,27960
without_mirrors,2023-10-23,0.89%,27910
without_mirrors,2023-10-24,0.89%,27905
without_mirrors,2023-09-06,0.89%,27884
with_mirrors,2023-10-05,0.89%,27859
without_mirrors,2023-08-16,0.89%,27817
with_mirrors,2023-10-13,0.89%,27775
without_mirrors,2023-09-13,0.88%,27597
without_mirrors,2023-10-05,0.88%,27392
with_mirrors,2023-08-22,0.87%,27288
without_mirrors,2023-10-13,0.87%,27151
with_mirrors,2023-10-09,0.87%,27107
with_mirrors,2023-09-27,0.86%,27034
without_mirrors,2023-10-09,0.86%,26992
with_mirrors,2023-09-14,0.86%,26929
with_mirrors,2023-09-18,0.86%,26826
with_mirrors,2023-09-25,0.86%,26801
without_mirrors,2023-08-22,0.85%,26664
without_mirrors,2023-09-27,0.85%,26660
without_mirrors,2023-09-18,0.85%,26443
without_mirrors,2023-09-14,0.84%,26419
with_mirrors,2023-08-23,0.84%,26313
without_mirrors,2023-09-25,0.84%,26213
with_mirrors,2023-09-28,0.83%,26055
with_mirrors,2023-09-15,0.83%,25981
with_mirrors,2023-09-26,0.83%,25840
without_mirrors,2023-09-15,0.82%,25803
with_mirrors,2023-08-17,0.82%,25575
without_mirrors,2023-08-23,0.82%,25568
without_mirrors,2023-08-17,0.81%,25334
without_mirrors,2023-09-28,0.81%,25188
without_mirrors,2023-09-26,0.80%,25105
with_mirrors,2023-09-11,0.80%,24958
with_mirrors,2023-09-05,0.79%,24842
without_mirrors,2023-09-05,0.79%,24657
without_mirrors,2023-09-11,0.77%,23945
with_mirrors,2023-08-24,0.76%,23681
with_mirrors,2023-10-02,0.76%,23636
with_mirrors,2023-08-21,0.75%,23560
without_mirrors,2023-08-24,0.75%,23542
without_mirrors,2023-10-02,0.75%,23478
with_mirrors,2023-08-28,0.74%,23283
with_mirrors,2023-07-20,0.74%,23254
with_mirrors,2023-08-09,0.74%,23204
with_mirrors,2023-08-25,0.74%,23160
without_mirrors,2023-08-21,0.74%,23114
without_mirrors,2023-08-28,0.73%,22828
without_mirrors,2023-07-20,0.73%,22790
without_mirrors,2023-08-09,0.72%,22667
with_mirrors,2023-09-01,0.72%,22614
with_mirrors,2023-07-18,0.72%,22371
without_mirrors,2023-08-25,0.71%,22315
with_mirrors,2023-09-08,0.71%,22270
without_mirrors,2023-07-18,0.70%,22029
without_mirrors,2023-09-08,0.70%,21946
without_mirrors,2023-09-01,0.70%,21825
with_mirrors,2023-08-15,0.69%,21656
with_mirrors,2023-08-08,0.69%,21593
with_mirrors,2023-09-29,0.68%,21223
with_mirrors,2023-07-25,0.68%,21174
with_mirrors,2023-07-17,0.68%,21145
with_mirrors,2023-09-07,0.67%,21062
without_mirrors,2023-08-08,0.67%,21026
without_mirrors,2023-07-25,0.67%,20972
without_mirrors,2023-09-07,0.67%,20960
without_mirrors,2023-08-15,0.67%,20910
with_mirrors,2023-08-02,0.66%,20776
with_mirrors,2023-07-26,0.66%,20765
without_mirrors,2023-09-29,0.66%,20542
with_mirrors,2023-07-19,0.66%,20536
with_mirrors,2023-10-29,0.65%,20484
with_mirrors,2023-07-24,0.65%,20444
without_mirrors,2023-07-19,0.65%,20378
without_mirrors,2023-07-24,0.65%,20370
with_mirrors,2023-10-28,0.65%,20336
without_mirrors,2023-10-29,0.65%,20258
with_mirrors,2023-09-04,0.65%,20253
without_mirrors,2023-07-17,0.65%,20200
with_mirrors,2023-08-10,0.64%,20009
with_mirrors,2023-07-11,0.64%,19998
without_mirrors,2023-08-02,0.64%,19897
without_mirrors,2023-07-26,0.63%,19847
without_mirrors,2023-09-04,0.63%,19712
with_mirrors,2023-07-21,0.63%,19628
without_mirrors,2023-07-11,0.63%,19565
without_mirrors,2023-07-21,0.62%,19509
with_mirrors,2023-10-21,0.62%,19505
with_mirrors,2023-08-18,0.62%,19396
without_mirrors,2023-08-10,0.61%,19189
without_mirrors,2023-08-18,0.61%,19167
with_mirrors,2023-06-27,0.61%,19114
