"date","weights_1","weights_2","weights_3","weights_4","weights_5","weights_6","weights_7","weights_8","weights_9","weights_10","weights_11","weights_12","weights_13","total_delta","ai_index"
"30/11/2022",0.003,0.0225,-0.003,0,0,0,0,0.0333333333,0.00017243217,0.00411348258,0.01217043576,0.00493628184,0.00599165451,0.08321762016,108.321762016
"9/12/2022",0,0.0105,0.003,0,0,0,0,0.05,-0.00189869247,-0.00601628472,-0.00480029409,-0.00171670023,0.00211936887,0.05118739736,113.866471091048
"16/12/2022",-0.0015,-0.012,0,0,0,0,0,0,-0.00267366096,-0.00294180687,0.00370325169,-0.00278827749,-0.0049495122,-0.02315000583,111.230461621449
"23/12/2022",-0.0015,-0.003,-0.0015,0,0,0,0,0.1,0.0003497409,0.0008039349,0.00279874215,-0.00064441836,-0.005799483,0.09150851659,121.408996164049
"31/12/2022",0,0,0,0,0,0,0,-0.0666666667,0.00104046246,0.00086508756,0.00266427108,0.00108604206,0.00314324172,-0.05786756182,114.383353573022
"6/01/2023",0.0045,0.018,0.0015,0,0,0,0,-0.075,0.00027266373,-0.0017975763,0.00380952378,-0.0055030257,0.00342138366,-0.05079703083,108.573018835134
"13/01/2023",0.003,0.0135,0.0015,0,0,0,0,1,0.01108516482,0.00419222907,0.00522051444,0.00479962764,0.00732236589,1.05061990186,222.641993228346
"20/01/2023",0.0015,0.012,0.0015,0,0,0,0,-0.0636363636,0.00112441437,0.00663489981,0.00266622336,-4.901139e-05,0.00069676767,-0.03756306978,214.278876500752
"29/01/2023",-0.018,0.018,0.0045,0,0,0,0,0.175,0.00435602952,-0.00037879551,0.00532072314,0.00206939484,0.00549775881,0.1963651108,256.355771826921
"5/02/2023",0.0255,0.012,0,0,0,0,0,0,0.00254201886,0.00727872912,0.02415544677,0.00579790098,0.00910101798,0.08637511371,278.498530768687
"12/02/2023",-0.0015,0,-0.003,0,0,0,0,0,-0.00402524955,-0.00728571429,-0.00576104481,0.00221973885,0.0007470828,-0.018605187,273.31701352451
"19/02/2023",0.0045,-0.003,0.003,0,0,0,0,0.0363636364,-0.00211573233,-0.00024733116,-0.00328540374,-0.00418472613,-0.00165289257,0.02937755047,281.346397883636
"23/02/2023",-0.003,-0.0015,0.003,0,0,0,0,-0.0733333333,-0.00102770145,-0.00260812728,-0.00088389117,-0.00123057351,0.01146357999,-0.06912004672,261.899721717415
"4/03/2023",0.0045,-0.0015,-0.0045,0,0,0,0,0.225,0.00109428327,0.00378546786,0.00833962491,0.00184270743,0.00149023116,0.24005231463,324.769356116634
"11/03/2023",0.0075,0.012,0.0135,0,0,0,0,0.0230769231,-0.00289919997,-0.0042573321,-0.00262358028,-0.00290299878,-0.00223604856,0.04115776341,338.1361364385
"19/03/2023",0.006,0.0195,0.012,0,0,0,0,0.0125,0.00634858812,0.01038195585,0.00731840796,0.00904164858,0.01081003401,0.09390063452,369.887334204216
"24/03/2023",0.0015,0,0.006,0,0,0,0,-0.0166666667,0.00038685906,0.00375222285,0.0037308528,0.00275916771,0.00305502993,0.00451746565,371.558287530854
"2/04/2023",0,0.003,0.0135,0,0,0,0,0.0333333333,0.00481946148,0.00111555729,0.00403766514,0.00388204515,0.00422755029,0.06791561265,396.792896263697
"9/04/2023",0.003,0.0015,-0.0075,0,0,0,0,0,-0.00030758715,0.00350134155,0.00127986111,0.0013688811,-0.00298712448,-0.00014462787,396.735508952279
