category,date,percent,downloads
with_mirrors,2023-09-29,1.37%,2726
without_mirrors,2023-09-29,1.36%,2720
with_mirrors,2023-10-31,1.20%,2385
without_mirrors,2023-10-31,1.20%,2383
with_mirrors,2023-11-02,1.16%,2319
without_mirrors,2023-11-02,1.16%,2317
with_mirrors,2023-10-23,1.10%,2190
without_mirrors,2023-10-23,1.10%,2189
with_mirrors,2023-10-24,1.04%,2065
without_mirrors,2023-10-24,1.03%,2058
with_mirrors,2023-11-01,1.03%,2054
without_mirrors,2023-11-01,1.03%,2047
with_mirrors,2023-10-30,1.01%,2020
without_mirrors,2023-10-30,1.01%,2017
with_mirrors,2023-10-25,0.99%,1976
without_mirrors,2023-10-25,0.99%,1972
with_mirrors,2023-10-26,0.95%,1901
without_mirrors,2023-10-26,0.95%,1894
with_mirrors,2023-10-27,0.89%,1778
without_mirrors,2023-10-27,0.89%,1776
with_mirrors,2023-08-28,0.88%,1764
without_mirrors,2023-08-28,0.88%,1762
with_mirrors,2023-07-20,0.88%,1745
with_mirrors,2023-08-24,0.87%,1743
without_mirrors,2023-07-20,0.87%,1743
without_mirrors,2023-08-24,0.87%,1743
with_mirrors,2023-09-06,0.87%,1742
without_mirrors,2023-09-06,0.87%,1740
with_mirrors,2023-10-20,0.85%,1693
without_mirrors,2023-10-20,0.85%,1693
with_mirrors,2023-09-05,0.85%,1688
with_mirrors,2023-07-18,0.84%,1684
without_mirrors,2023-07-18,0.84%,1684
without_mirrors,2023-09-05,0.84%,1684
with_mirrors,2023-08-22,0.82%,1642
without_mirrors,2023-08-22,0.82%,1639
with_mirrors,2023-08-31,0.82%,1630
with_mirrors,2023-09-07,0.82%,1630
without_mirrors,2023-08-31,0.82%,1627
without_mirrors,2023-09-07,0.82%,1627
with_mirrors,2023-08-16,0.81%,1623
with_mirrors,2023-07-24,0.81%,1620
without_mirrors,2023-08-16,0.81%,1620
without_mirrors,2023-07-24,0.81%,1616
with_mirrors,2023-08-29,0.80%,1601
without_mirrors,2023-08-29,0.80%,1601
with_mirrors,2023-08-30,0.80%,1592
without_mirrors,2023-08-30,0.80%,1589
with_mirrors,2023-08-25,0.80%,1585
with_mirrors,2023-08-09,0.79%,1584
without_mirrors,2023-08-09,0.79%,1579
without_mirrors,2023-08-25,0.79%,1576
with_mirrors,2023-08-17,0.79%,1573
with_mirrors,2023-08-21,0.79%,1572
without_mirrors,2023-08-21,0.79%,1570
without_mirrors,2023-08-17,0.79%,1569
with_mirrors,2023-08-23,0.78%,1559
without_mirrors,2023-08-23,0.78%,1556
with_mirrors,2023-10-02,0.78%,1555
without_mirrors,2023-10-02,0.78%,1555
with_mirrors,2023-07-25,0.77%,1543
without_mirrors,2023-07-25,0.77%,1543
with_mirrors,2023-08-10,0.77%,1537
without_mirrors,2023-08-10,0.77%,1531
with_mirrors,2023-08-11,0.75%,1504
with_mirrors,2023-08-18,0.75%,1502
without_mirrors,2023-08-11,0.75%,1501
without_mirrors,2023-08-18,0.75%,1500
with_mirrors,2023-07-14,0.75%,1491
with_mirrors,2023-07-19,0.75%,1490
without_mirrors,2023-07-14,0.75%,1490
with_mirrors,2023-09-12,0.75%,1489
without_mirrors,2023-07-19,0.75%,1489
without_mirrors,2023-09-12,0.75%,1489
with_mirrors,2023-09-11,0.74%,1477
without_mirrors,2023-09-11,0.74%,1472
with_mirrors,2023-07-21,0.73%,1452
without_mirrors,2023-07-21,0.73%,1451
with_mirrors,2023-07-28,0.72%,1433
without_mirrors,2023-07-28,0.72%,1433
with_mirrors,2023-07-17,0.71%,1421
without_mirrors,2023-07-17,0.71%,1417
with_mirrors,2023-07-07,0.71%,1412
with_mirrors,2023-07-26,0.71%,1411
without_mirrors,2023-07-26,0.71%,1406
without_mirrors,2023-07-07,0.70%,1404
with_mirrors,2023-08-02,0.70%,1403
with_mirrors,2023-09-08,0.70%,1398
with_mirrors,2023-08-08,0.70%,1397
without_mirrors,2023-09-08,0.70%,1397
with_mirrors,2023-08-07,0.70%,1396
without_mirrors,2023-08-02,0.70%,1396
with_mirrors,2023-09-01,0.70%,1392
without_mirrors,2023-09-01,0.70%,1392
without_mirrors,2023-08-07,0.70%,1391
without_mirrors,2023-08-08,0.70%,1391
with_mirrors,2023-10-19,0.69%,1381
without_mirrors,2023-10-19,0.69%,1379
with_mirrors,2023-08-14,0.68%,1363
without_mirrors,2023-08-14,0.68%,1359
with_mirrors,2023-07-31,0.68%,1355
with_mirrors,2023-08-15,0.68%,1354
with_mirrors,2023-09-04,0.68%,1353
with_mirrors,2023-07-12,0.68%,1351
without_mirrors,2023-08-15,0.68%,1351
without_mirrors,2023-09-04,0.68%,1350
with_mirrors,2023-07-13,0.68%,1348
with_mirrors,2023-10-28,0.68%,1348
without_mirrors,2023-07-31,0.68%,1347
without_mirrors,2023-07-13,0.67%,1345
