category,date,percent,downloads
with_mirrors,2023-10-26,1.14%,269383
without_mirrors,2023-10-26,1.07%,254197
with_mirrors,2023-10-25,1.07%,253970
with_mirrors,2023-10-17,1.07%,253886
with_mirrors,2023-10-30,1.05%,249836
with_mirrors,2023-10-04,1.05%,249602
with_mirrors,2023-10-18,1.05%,247939
with_mirrors,2023-10-10,1.04%,245790
with_mirrors,2023-10-24,1.03%,244508
with_mirrors,2023-10-11,1.03%,243945
without_mirrors,2023-10-17,1.02%,242968
with_mirrors,2023-10-19,1.01%,239898
without_mirrors,2023-10-25,1.01%,239561
without_mirrors,2023-10-18,1.01%,238526
without_mirrors,2023-10-30,1.00%,237621
without_mirrors,2023-10-04,1.00%,237615
with_mirrors,2023-10-05,1.00%,236481
without_mirrors,2023-10-10,0.98%,233189
with_mirrors,2023-10-12,0.98%,232891
with_mirrors,2023-10-23,0.98%,232435
with_mirrors,2023-10-16,0.98%,231977
without_mirrors,2023-10-11,0.98%,231491
with_mirrors,2023-10-27,0.97%,229841
without_mirrors,2023-10-24,0.97%,229775
with_mirrors,2023-09-05,0.96%,227080
with_mirrors,2023-10-03,0.96%,226909
without_mirrors,2023-10-19,0.96%,226776
with_mirrors,2023-10-20,0.95%,226048
with_mirrors,2023-09-13,0.95%,224775
with_mirrors,2023-09-26,0.94%,223688
with_mirrors,2023-10-06,0.94%,223552
with_mirrors,2023-10-09,0.94%,223390
with_mirrors,2023-09-21,0.94%,222865
with_mirrors,2023-10-31,0.94%,222607
with_mirrors,2023-09-12,0.94%,222597
without_mirrors,2023-10-16,0.94%,222291
without_mirrors,2023-10-12,0.94%,222075
with_mirrors,2023-09-14,0.94%,221983
without_mirrors,2023-10-23,0.93%,221687
without_mirrors,2023-10-05,0.93%,221334
without_mirrors,2023-09-26,0.93%,219877
with_mirrors,2023-09-27,0.92%,218877
without_mirrors,2023-10-03,0.92%,218133
without_mirrors,2023-09-05,0.92%,217716
with_mirrors,2023-08-17,0.92%,217572
with_mirrors,2023-09-19,0.92%,217339
without_mirrors,2023-09-13,0.91%,214888
without_mirrors,2023-10-27,0.91%,214760
with_mirrors,2023-09-06,0.90%,214099
without_mirrors,2023-09-12,0.90%,213728
without_mirrors,2023-10-20,0.90%,213468
without_mirrors,2023-09-27,0.90%,213112
without_mirrors,2023-10-09,0.90%,212598
with_mirrors,2023-10-13,0.90%,212585
without_mirrors,2023-10-06,0.89%,211466
without_mirrors,2023-09-14,0.89%,210507
with_mirrors,2023-08-23,0.89%,210498
with_mirrors,2023-08-16,0.89%,209907
without_mirrors,2023-09-21,0.88%,209394
with_mirrors,2023-11-02,0.88%,209371
without_mirrors,2023-10-31,0.88%,209115
with_mirrors,2023-09-11,0.88%,208832
with_mirrors,2023-09-07,0.88%,208184
