category,date,percent,downloads
with_mirrors,2023-10-18,0.94%,473268
with_mirrors,2023-10-17,0.94%,473132
without_mirrors,2023-10-18,0.92%,461526
without_mirrors,2023-10-17,0.91%,459584
with_mirrors,2023-10-31,0.90%,454103
with_mirrors,2023-10-10,0.90%,452828
with_mirrors,2023-11-02,0.90%,451727
with_mirrors,2023-10-11,0.89%,449946
with_mirrors,2023-10-26,0.89%,448110
with_mirrors,2023-10-12,0.88%,441951
with_mirrors,2023-10-16,0.87%,440236
without_mirrors,2023-11-02,0.87%,439348
without_mirrors,2023-10-31,0.87%,438290
without_mirrors,2023-10-10,0.87%,436456
with_mirrors,2023-10-25,0.87%,436033
with_mirrors,2023-10-30,0.86%,435317
without_mirrors,2023-10-11,0.86%,435096
with_mirrors,2023-11-01,0.86%,433118
without_mirrors,2023-10-26,0.86%,431963
with_mirrors,2023-08-31,0.85%,430229
with_mirrors,2023-10-03,0.85%,430031
without_mirrors,2023-10-12,0.85%,429948
with_mirrors,2023-09-26,0.85%,429435
without_mirrors,2023-10-16,0.85%,428913
with_mirrors,2023-10-19,0.85%,428396
with_mirrors,2023-09-13,0.85%,428137
with_mirrors,2023-09-14,0.85%,427701
without_mirrors,2023-08-31,0.84%,424583
with_mirrors,2023-10-05,0.84%,423563
without_mirrors,2023-09-13,0.84%,423244
without_mirrors,2023-09-26,0.84%,422838
without_mirrors,2023-10-30,0.84%,422184
with_mirrors,2023-09-12,0.84%,422170
without_mirrors,2023-09-14,0.84%,422059
without_mirrors,2023-10-25,0.84%,421557
without_mirrors,2023-11-01,0.84%,421321
without_mirrors,2023-10-03,0.83%,420302
with_mirrors,2023-08-30,0.83%,418826
without_mirrors,2023-09-12,0.83%,417756
with_mirrors,2023-09-27,0.83%,417000
without_mirrors,2023-10-19,0.82%,414117
with_mirrors,2023-10-13,0.82%,412553
without_mirrors,2023-08-30,0.82%,412246
with_mirrors,2023-10-04,0.82%,410887
without_mirrors,2023-09-27,0.82%,410754
with_mirrors,2023-10-24,0.81%,410129
with_mirrors,2023-10-27,0.81%,408752
without_mirrors,2023-10-05,0.80%,404141
with_mirrors,2023-10-02,0.80%,404035
with_mirrors,2023-10-09,0.80%,402834
without_mirrors,2023-10-13,0.80%,401497
with_mirrors,2023-10-06,0.80%,401005
with_mirrors,2023-09-28,0.80%,400925
