Title,Author,Updated,Link,Tag,Search,ID
"VoxPoser: Composable 3D Value Maps for Robotic Manipulation with
  Language Models",Li Fei-Fei,2023-11-02,http://arxiv.org/pdf/2307.05973v2,cs.RO,Large Language Model,2307.05973v2
"Replicable Benchmarking of Neural Machine Translation (NMT) on
  Low-Resource Local Languages in Indonesia",Derry Wijaya,2023-11-02,http://arxiv.org/pdf/2311.00998v1,cs.CL,Large Language Model,2311.00998v1
Multi-dimensional data refining strategy for effective fine-tuning LLMs,Thanh Pham,2023-11-02,http://arxiv.org/pdf/2311.01049v1,cs.CL,Large Language Model,2311.01049v1
"An energy-based comparative analysis of common approaches to text
  classification in the Legal domain",Leonardo Rigutini,2023-11-02,http://arxiv.org/pdf/2311.01256v1,cs.CL,Large Language Model,2311.01256v1
"Improving Zero-shot Reader by Reducing Distractions from Irrelevant
  Documents in Open-Domain Question Answering",Jong C. Park,2023-11-02,http://arxiv.org/pdf/2310.17490v2,cs.CL,Large Language Model,2310.17490v2
Revisiting the Knowledge Injection Frameworks,Junbo Zhao,2023-11-02,http://arxiv.org/pdf/2311.01150v1,cs.CL,Large Language Model,2311.01150v1
"Learn to Refuse: Making Large Language Models More Controllable and
  Reliable through Knowledge Scope Limitation and Refusal Mechanism",Lang Cao,2023-11-02,http://arxiv.org/pdf/2311.01041v1,cs.CL,Large Language Model,2311.01041v1
"AWEQ: Post-Training Quantization with Activation-Weight Equalization for
  Large Language Models",Haixiao Xu,2023-11-02,http://arxiv.org/pdf/2311.01305v1,cs.LG,Large Language Model,2311.01305v1
"Knowledge-Infused Prompting: Assessing and Advancing Clinical Text Data
  Generation with Large Language Models",Carl Yang,2023-11-01,http://arxiv.org/pdf/2311.00287v1,cs.CL,Large Language Model,2311.00287v1
"Improving Interpersonal Communication by Simulating Audiences with
  Language Models",Ranjay Krishna,2023-11-01,http://arxiv.org/pdf/2311.00687v1,cs.AI,Large Language Model,2311.00687v1
"Query and Response Augmentation Cannot Help Out-of-domain Math Reasoning
  Generalization",Chang Zhou,2023-11-01,http://arxiv.org/pdf/2310.05506v2,cs.CL,Large Language Model,2310.05506v2
"Plug-and-Play Policy Planner for Large Language Model Powered Dialogue
  Agents",Tat-Seng Chua,2023-11-01,http://arxiv.org/pdf/2311.00262v1,cs.CL,Large Language Model,2311.00262v1
"Active Instruction Tuning: Improving Cross-Task Generalization by
  Training on Prompt Sensitive Tasks",Nanyun Peng,2023-11-01,http://arxiv.org/pdf/2311.00288v1,cs.CL,Large Language Model,2311.00288v1
"Improving Factual Consistency of Text Summarization by Adversarially
  Decoupling Comprehension and Embellishment Abilities of LLMs",Qianli Ma,2023-11-01,http://arxiv.org/pdf/2310.19347v2,cs.CL,Large Language Model,2310.19347v2
Efficient LLM Inference on CPUs,Hengyu Meng,2023-11-01,http://arxiv.org/pdf/2311.00502v1,cs.LG,Large Language Model,2311.00502v1
"How Abilities in Large Language Models are Affected by Supervised
  Fine-tuning Data Composition",Jingren Zhou,2023-11-01,http://arxiv.org/pdf/2310.05492v2,cs.CL,Large Language Model,2310.05492v2
"Continuous Training and Fine-tuning for Domain-Specific Language Models
  in Medical Question Answering",Yining Hua,2023-11-01,http://arxiv.org/pdf/2311.00204v1,cs.CL,Large Language Model,2311.00204v1
"Unleashing the Creative Mind: Language Model As Hierarchical Policy For
  Improved Exploration on Challenging Problem Solving",Hao Su,2023-11-01,http://arxiv.org/pdf/2311.00694v1,cs.AI,Large Language Model,2311.00694v1
"Supervised Learning and Large Language Model Benchmarks on Mental Health
  Datasets: Cognitive Distortions and Suicidal Risks in Chinese Social Media",Guanghui Fu,2023-11-01,http://arxiv.org/pdf/2309.03564v2,cs.CL,Large Language Model,2309.03564v2
Comparing Optimization Targets for Contrast-Consistent Search,Nandi Schoots,2023-11-01,http://arxiv.org/pdf/2311.00488v1,cs.LG,Large Language Model,2311.00488v1
Learning to Reason and Memorize with Self-Notes,Sainbayar Sukhbaatar,2023-10-31,http://arxiv.org/pdf/2305.00833v2,cs.LG,Large Language Model,2305.00833v2
"Chameleon: Plug-and-Play Compositional Reasoning with Large Language
  Models",Jianfeng Gao,2023-10-31,http://arxiv.org/pdf/2304.09842v3,cs.CL,Large Language Model,2304.09842v3
"OpenAssistant Conversations -- Democratizing Large Language Model
  Alignment",Alexander Mattick,2023-10-31,http://arxiv.org/pdf/2304.07327v2,cs.CL,Large Language Model,2304.07327v2
How is ChatGPT's behavior changing over time?,James Zou,2023-10-31,http://arxiv.org/pdf/2307.09009v3,cs.CL,Large Language Model,2307.09009v3
"Structural Similarities Between Language Models and Neural Response
  Measurements",Anders Søgaard,2023-10-31,http://arxiv.org/pdf/2306.01930v2,cs.CL,Large Language Model,2306.01930v2
A Vision-free Baseline for Multimodal Grammar Induction,Dan Klein,2023-10-31,http://arxiv.org/pdf/2212.10564v2,cs.CL,Large Language Model,2212.10564v2
"FANToM: A Benchmark for Stress-testing Machine Theory of Mind in
  Interactions",Maarten Sap,2023-10-31,http://arxiv.org/pdf/2310.15421v3,cs.CL,Large Language Model,2310.15421v3
CapsFusion: Rethinking Image-Text Data at Scale,Jingjing Liu,2023-10-31,http://arxiv.org/pdf/2310.20550v1,cs.CV,Large Language Model,2310.20550v1
"""Kelly is a Warm Person, Joseph is a Role Model"": Gender Biases in
  LLM-Generated Reference Letters",Nanyun Peng,2023-10-31,http://arxiv.org/pdf/2310.09219v3,cs.CL,Large Language Model,2310.09219v3
"Style-Aware Radiology Report Generation with RadGraph and Few-Shot
  Prompting",Michael Moor,2023-10-31,http://arxiv.org/pdf/2310.17811v2,cs.AI,Large Language Model,2310.17811v2
"LoRAShear: Efficient Large Language Model Structured Pruning and
  Knowledge Recovery",Luming Liang,2023-10-31,http://arxiv.org/pdf/2310.18356v2,cs.CL,Large Language Model,2310.18356v2
"AllTogether: Investigating the Efficacy of Spliced Prompt for Web
  Navigation using Large Language Models",Chunhong Zhang,2023-10-31,http://arxiv.org/pdf/2310.18331v2,cs.CL,Large Language Model,2310.18331v2
"Robust Safety Classifier for Large Language Models: Adversarial Prompt
  Shield",Ian G. Harris,2023-10-31,http://arxiv.org/pdf/2311.00172v1,cs.CL,Large Language Model,2311.00172v1
Faith and Fate: Limits of Transformers on Compositionality,Yejin Choi,2023-10-31,http://arxiv.org/pdf/2305.18654v3,cs.CL,Large Language Model,2305.18654v3
"TeacherLM: Teaching to Fish Rather Than Giving the Fish, Language
  Modeling Likewise",Mingjie Zhan,2023-10-31,http://arxiv.org/pdf/2310.19019v2,cs.CL,Large Language Model,2310.19019v2
Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,Robert West,2023-10-31,http://arxiv.org/pdf/2305.13971v4,cs.CL,Large Language Model,2305.13971v4
Unlearn What You Want to Forget: Efficient Unlearning for LLMs,Diyi Yang,2023-10-31,http://arxiv.org/pdf/2310.20150v1,cs.CL,Large Language Model,2310.20150v1
LLMaAA: Making Large Language Models as Active Annotators,Lei Zou,2023-10-31,http://arxiv.org/pdf/2310.19596v2,cs.CL,Large Language Model,2310.19596v2
"CXR-LLaVA: Multimodal Large Language Model for Interpreting Chest X-ray
  Images",Soon Ho Yoon,2023-10-31,http://arxiv.org/pdf/2310.18341v2,cs.CL,Large Language Model,2310.18341v2
"Interactive Multi-fidelity Learning for Cost-effective Adaptation of
  Language Model with Sparse Human Supervision",Sricharan Kumar,2023-10-31,http://arxiv.org/pdf/2310.20153v1,cs.CL,Large Language Model,2310.20153v1
"Theory of Mind in Large Language Models: Examining Performance of 11
  State-of-the-Art models vs. Children Aged 7-10 on Advanced Tests",Peter van der Putten,2023-10-31,http://arxiv.org/pdf/2310.20320v1,cs.CL,Large Language Model,2310.20320v1
Do large language models solve verbal analogies like children do?,Ekaterina Shutova,2023-10-31,http://arxiv.org/pdf/2310.20384v1,cs.CL,Large Language Model,2310.20384v1
Learning From Mistakes Makes LLM Better Reasoner,Weizhu Chen,2023-10-31,http://arxiv.org/pdf/2310.20689v1,cs.CL,Large Language Model,2310.20689v1
"Large Language Models: The Need for Nuance in Current Debates and a
  Pragmatic Perspective on Understanding",Max J. van Duijn,2023-10-31,http://arxiv.org/pdf/2310.19671v2,cs.CL,Large Language Model,2310.19671v2
TrojLLM: A Black-box Trojan Prompt Attack on Large Language Models,Qian Lou,2023-10-31,http://arxiv.org/pdf/2306.06815v3,cs.CR,Large Language Model,2306.06815v3
Evaluating Large Language Models: A Comprehensive Survey,Deyi Xiong,2023-10-31,http://arxiv.org/pdf/2310.19736v2,cs.CL,Large Language Model,2310.19736v2
Conceptor-Aided Debiasing of Large Language Models,João Sedoc,2023-10-30,http://arxiv.org/pdf/2211.11087v3,cs.CL,Large Language Model,2211.11087v3
DUMA: a Dual-Mind Conversational Agent with Fast and Slow Thinking,Ming Cui,2023-10-30,http://arxiv.org/pdf/2310.18075v2,cs.CL,Large Language Model,2310.18075v2
Large Language Models Are Semi-Parametric Reinforcement Learning Agents,Kai Yu,2023-10-30,http://arxiv.org/pdf/2306.07929v2,cs.CL,Large Language Model,2306.07929v2
Hierarchical Prompting Assists Large Language Model on Web Navigation,Shuyan Zhou,2023-10-30,http://arxiv.org/pdf/2305.14257v3,cs.CL,Large Language Model,2305.14257v3
"Synthetic Imitation Edit Feedback for Factual Alignment in Clinical
  Summarization",Hong Yu,2023-10-30,http://arxiv.org/pdf/2310.20033v1,cs.CL,Large Language Model,2310.20033v1
"Rethinking Memory and Communication Cost for Efficient Large Language
  Model Training",Jun Zhou,2023-10-30,http://arxiv.org/pdf/2310.06003v2,cs.LG,Large Language Model,2310.06003v2
"The Vault: A Comprehensive Multilingual Dataset for Advancing Code
  Understanding and Generation",Nghi D. Q. Bui,2023-10-30,http://arxiv.org/pdf/2305.06156v2,cs.CL,Large Language Model,2305.06156v2
"Explaining Tree Model Decisions in Natural Language for Network
  Intrusion Detection",Meng Jiang,2023-10-30,http://arxiv.org/pdf/2310.19658v1,cs.CL,Large Language Model,2310.19658v1
"LILO: Learning Interpretable Libraries by Compressing and Documenting
  Code",Jacob Andreas,2023-10-30,http://arxiv.org/pdf/2310.19791v1,cs.CL,Large Language Model,2310.19791v1
Personas as a Way to Model Truthfulness in Language Models,He He,2023-10-30,http://arxiv.org/pdf/2310.18168v2,cs.CL,Large Language Model,2310.18168v2
Skywork: A More Open Bilingual Foundation Model,Yahui Zhou,2023-10-30,http://arxiv.org/pdf/2310.19341v1,cs.CL,Large Language Model,2310.19341v1
"BioInstruct: Instruction Tuning of Large Language Models for Biomedical
  Natural Language Processing",Hong Yu,2023-10-30,http://arxiv.org/pdf/2310.19975v1,cs.CL,Large Language Model,2310.19975v1
EHRTutor: Enhancing Patient Understanding of Discharge Instructions,Hong Yu,2023-10-30,http://arxiv.org/pdf/2310.19212v1,cs.CL,Large Language Model,2310.19212v1
"Knowledge-Augmented Reasoning Distillation for Small Language Models in
  Knowledge-Intensive Tasks",Sung Ju Hwang,2023-10-30,http://arxiv.org/pdf/2305.18395v2,cs.CL,Large Language Model,2305.18395v2
Language models show human-like content effects on reasoning tasks,Felix Hill,2023-10-30,http://arxiv.org/pdf/2207.07051v3,cs.CL,Large Language Model,2207.07051v3
