Category: All categories

Week,chatgpt: (Worldwide)
2022-09-04,0
2022-09-11,0
2022-09-18,<1
2022-09-25,0
2022-10-02,<1
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,<1
2022-11-06,0
2022-11-13,<1
2022-11-20,<1
2022-11-27,1
2022-12-04,18
2022-12-11,24
2022-12-18,15
2022-12-25,14
2023-01-01,20
2023-01-08,33
2023-01-15,40
2023-01-22,47
2023-01-29,59
2023-02-05,74
2023-02-12,70
2023-02-19,67
2023-02-26,69
2023-03-05,64
2023-03-12,77
2023-03-19,85
2023-03-26,94
2023-04-02,86
2023-04-09,90
2023-04-16,91
2023-04-23,90
2023-04-30,89
2023-05-07,94
2023-05-14,88
2023-05-21,94
2023-05-28,88
2023-06-04,84
2023-06-11,84
2023-06-18,79
2023-06-25,70
2023-07-02,68
2023-07-09,72
2023-07-16,63
2023-07-23,65
2023-07-30,63
2023-08-06,65
2023-08-13,64
2023-08-20,69
2023-08-27,75
2023-09-03,77
2023-09-10,84
2023-09-17,88
2023-09-24,89
2023-10-01,95
2023-10-08,96
2023-10-15,100
2023-10-22,97
2023-10-29,76
