date,gpt.hits,gai.hits,llm.hits
4/09/2022,0,1,33
11/09/2022,0,1,34
18/09/2022,<1,1,36
25/09/2022,0,1,32
2/10/2022,<1,1,30
9/10/2022,0,1,35
16/10/2022,0,3,31
23/10/2022,0,4,30
30/10/2022,<1,4,29
6/11/2022,0,3,32
13/11/2022,<1,3,31
20/11/2022,<1,4,28
27/11/2022,1,5,31
4/12/2022,18,6,28
11/12/2022,24,7,32
18/12/2022,15,5,29
25/12/2022,14,4,29
1/01/2023,20,7,32
8/01/2023,33,10,34
15/01/2023,40,11,34
22/01/2023,47,12,35
29/01/2023,59,17,40
5/02/2023,74,17,38
12/02/2023,70,17,41
19/02/2023,67,19,37
26/02/2023,69,18,40
5/03/2023,64,21,39
12/03/2023,77,26,46
19/03/2023,85,31,46
26/03/2023,94,33,57
2/04/2023,86,31,50
9/04/2023,90,35,60
16/04/2023,91,38,64
23/04/2023,90,37,59
30/04/2023,89,40,60
7/05/2023,94,47,70
14/05/2023,88,57,72
21/05/2023,94,74,80
28/05/2023,88,71,73
4/06/2023,84,100,84
11/06/2023,84,95,91
18/06/2023,79,82,85
25/06/2023,70,78,88
2/07/2023,68,72,85
9/07/2023,72,82,94
16/07/2023,63,83,100
23/07/2023,65,81,81
30/07/2023,63,73,93
6/08/2023,65,79,92
13/08/2023,64,80,91
20/08/2023,69,81,94
27/08/2023,75,85,92
3/09/2023,77,75,90
10/09/2023,84,83,100
17/09/2023,88,78,96
24/09/2023,89,82,99
1/10/2023,95,80,98
8/10/2023,96,75,98
15/10/2023,100,76,98
22/10/2023,97,83,97
29/10/2023,76,58,63
