Category: All categories

Week,generative ai: (Worldwide)
2022-09-04,1
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,3
2022-10-23,4
2022-10-30,4
2022-11-06,3
2022-11-13,3
2022-11-20,4
2022-11-27,5
2022-12-04,6
2022-12-11,7
2022-12-18,5
2022-12-25,4
2023-01-01,7
2023-01-08,10
2023-01-15,11
2023-01-22,12
2023-01-29,17
2023-02-05,17
2023-02-12,17
2023-02-19,19
2023-02-26,18
2023-03-05,21
2023-03-12,26
2023-03-19,31
2023-03-26,33
2023-04-02,31
2023-04-09,35
2023-04-16,38
2023-04-23,37
2023-04-30,40
2023-05-07,47
2023-05-14,57
2023-05-21,74
2023-05-28,71
2023-06-04,100
2023-06-11,95
2023-06-18,82
2023-06-25,78
2023-07-02,72
2023-07-09,82
2023-07-16,83
2023-07-23,81
2023-07-30,73
2023-08-06,79
2023-08-13,80
2023-08-20,81
2023-08-27,85
2023-09-03,75
2023-09-10,83
2023-09-17,78
2023-09-24,82
2023-10-01,80
2023-10-08,75
2023-10-15,76
2023-10-22,83
2023-10-29,58
