Category: All categories

Week,llm: (Worldwide)
2022-09-04,33
2022-09-11,34
2022-09-18,36
2022-09-25,32
2022-10-02,30
2022-10-09,35
2022-10-16,31
2022-10-23,30
2022-10-30,29
2022-11-06,32
2022-11-13,31
2022-11-20,28
2022-11-27,31
2022-12-04,28
2022-12-11,32
2022-12-18,29
2022-12-25,29
2023-01-01,32
2023-01-08,34
2023-01-15,34
2023-01-22,35
2023-01-29,40
2023-02-05,38
2023-02-12,41
2023-02-19,37
2023-02-26,40
2023-03-05,39
2023-03-12,46
2023-03-19,46
2023-03-26,57
2023-04-02,50
2023-04-09,60
2023-04-16,64
2023-04-23,59
2023-04-30,60
2023-05-07,70
2023-05-14,72
2023-05-21,80
2023-05-28,73
2023-06-04,84
2023-06-11,91
2023-06-18,85
2023-06-25,88
2023-07-02,85
2023-07-09,94
2023-07-16,100
2023-07-23,81
2023-07-30,93
2023-08-06,92
2023-08-13,91
2023-08-20,94
2023-08-27,92
2023-09-03,90
2023-09-10,100
2023-09-17,96
2023-09-24,99
2023-10-01,98
2023-10-08,98
2023-10-15,98
2023-10-22,97
2023-10-29,63
